price,address,postal_code,bed,full_bath,half_bath,property_area,property_type
210000,7 - 1155 FALCONRIDGE DR NE,T3J 1E1,3.0,2.0,,1000.0,townhouse
464999,103 CORAL KEYS GREEN NE,T3J 3K6,4.0,3.0,,1938.0,house
424900,604 EVANSTON LINK NW,T3P 0R4,4.0,3.0,1.0,1542.0,house
2410000,832 4A Street NE,T2E 3W4,,,,11698.0,condo
1795,1107 - 624 8 AVE SE,T2G 1S7,1.0,1.0,,478.0,house
399900,152 EVERRIDGE WAY SW,T2Y 4S9,4.0,2.0,2.0,1329.0,house
268000,11973 COVENTRY HILLS Way NE,T3K 6G6,3.0,1.0,1.0,1098.0,townhouse
1250,1820 39 ST SE,T2B 1A3,3.0,2.0,,1100.0,house
579900,2123 12 ST NW,T2M 4R3,,,,1137.0,
364900,458 COPPERPOND BLVD SE,T2Z 0Z4,3.0,2.0,1.0,1278.0,house
749900,179 TUSCANY ESTATES CLOSE NW,T3L 0B4,4.0,3.0,1.0,2676.0,house
739990,340 TARALAKE LANDNG NE,T3J 0A6,7.0,4.0,,2876.0,house
289900,647 WHITEWOOD RD NE,T1Y 4A1,5.0,2.0,,1024.0,house
740000,1818 40 ST SE,T2B 1B4,,,,2503.0,
1250000,615 19 AVE NW,T2M 0Y9,4.0,3.0,1.0,2429.0,house
279900,52 TARAGLEN RD NE,T3J 2N6,4.0,1.0,,1038.0,house
225000,416 - 402 MARQUIS LANE SE,T3M 2G7,2.0,1.0,,579.0,condo
449900,23 RIVERGLEN RD SE,T2C 3T2,4.0,2.0,1.0,1820.0,house
344900,1602 - 733 14 AVE SW,T2R 0N3,2.0,1.0,,800.0,condo
455000,612 SEYMOUR AVE SW,T2W 0N4,3.0,2.0,,1084.0,house
339900,2805 - 99 SPRUCE PL SW,T3C 3X7,2.0,2.0,,954.0,condo
349000,708 - 3820 BRENTWOOD RD NW,T2L 2L5,2.0,2.0,,670.0,condo
335000,6367 RUNDLEHORN DR NE,T1Y 1M6,3.0,1.0,2.0,1513.0,house
254900,50  Erin Woods Court SE,T2B 3V6,3.0,2.0,,833.0,townhouse
469900,28 DEL RAY RD NE,T1Y 6V5,4.0,3.0,1.0,1950.0,house
354900,944 NOLAN HILL Boulevard NW,T3R 0W1,2.0,2.0,1.0,1234.0,townhouse
1950000,4014 15A ST SW,T2T 4C7,4.0,3.0,1.0,3101.0,house
525000,106 - 1110 3 AVE NW,T2N 4J3,2.0,2.0,,947.0,condo
399900,3 SAGE BERRY PL NW,T3R 0L1,3.0,2.0,1.0,1485.0,house
549900,3531 35 AVE SW,T3E 1A2,3.0,1.0,1.0,1091.0,house
359900,6928 RANCHVIEW DR NW,T3G 1L3,4.0,2.0,1.0,1135.0,house
775000,720 80 AVE SW,T2V 0V1,4.0,3.0,,1505.0,house
548406,230 LUCAS PARADE NW,T3P 1H9,3.0,2.0,1.0,1141.0,house
240000,1004 - 80 POINT MCKAY CRES NW,T3B 4W4,1.0,1.0,,735.0,condo
999900,405 10 ST NE,T2E 4M2,5.0,3.0,1.0,2404.0,house
459800,46 KINLEA WAY NW,T3R 0C5,3.0,2.0,1.0,1739.0,house
499900,90 SILVERADO SKIES CRES SW,T2X 0J6,3.0,2.0,1.0,2398.0,house
409000,610 - 804 3 AVE SW,T2P 0G9,2.0,2.0,,1158.0,condo
